Index Name,Date,Open,High,Low,Close,Data_source,Published_date,Updated_date
NIFTY SME EMERGE,04-Mar-20,NA,NA,NA,1293.49,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,03-Mar-20,NA,NA,NA,1309.81,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,02-Mar-20,NA,NA,NA,1304.99,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,28-Feb-20,NA,NA,NA,1309.79,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,27-Feb-20,NA,NA,NA,1330.76,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,26-Feb-20,NA,NA,NA,1344.54,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,25-Feb-20,NA,NA,NA,1349.36,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,24-Feb-20,NA,NA,NA,1346.2,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,20-Feb-20,NA,NA,NA,1353.47,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,19-Feb-20,NA,NA,NA,1354.21,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,18-Feb-20,NA,NA,NA,1360.86,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,17-Feb-20,NA,NA,NA,1370.95,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,14-Feb-20,NA,NA,NA,1366.17,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,13-Feb-20,NA,NA,NA,1365.89,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,12-Feb-20,NA,NA,NA,1356.77,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,11-Feb-20,NA,NA,NA,1348.93,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,10-Feb-20,NA,NA,NA,1322.74,NSE Indices,2016-2025,19-04-2025
NIFTY SME EMERGE,07-Feb-20,NA,NA,NA,1335.82,NSE Indices,2016-2025,19-04-2025
